author_name,paper_title
A. Acero,Learning deep structured semantic models for web search using clickthrough data
A. Bozzon,A Platform for Urban Analytics and Semantic Data Integration in City Planning
A. Danyluk,ACM Task Force on Data Science Education: Draft Report and Opportunity for Feedback
A. El-Bastawissy,Data warehouse testing
A. Joseph,Adversarial machine learning
A. Karpathy,Deep visual-semantic alignments for generating image descriptions
A. Oliva,Learning Deep Features for Scene Recognition using Places Database
A. Psyllidis,A Platform for Urban Analytics and Semantic Data Integration in City Planning
A. Swami,Practical Black-Box Attacks against Machine Learning
A. Torralba,Learning Deep Features for Scene Recognition using Places Database
Adam Pauls,Constrained Language Models Yield Few-Shot Semantic Parsers
Alessandro Anna Emily Emmanuel Georg Ghassem Guang Helmut Jac Ruggiero Korhonen Jefferson Ako Langs Gozaliasl Ya,Semantic Earth Observation Data Cubes
Alessandro Anna Emily Emmanuel Georg Ghassem Guang Helmut Jac Ruggiero Korhonen Jefferson Ako Langs Gozaliasl Ya,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Alexey Kurakin,Adversarial Machine Learning at Scale
Amir Zamir,3D Semantic Parsing of Large-Scale Indoor Spaces
Amirata Ghorbani,Data Shapley: Equitable Valuation of Data for Machine Learning
Andrea Baraldi,Semantic Earth Observation Data Cubes
Andrea Baraldi,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Andres Milioto,RangeNet ++: Fast and Accurate LiDAR Semantic Segmentation
Antonio M. López,The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes
Anze Vavpetic,Semantic Data Mining of Financial News Articles
Arnab Phani,SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle
Arvind Satyanarayan,Sherlock: A Deep Learning Approach to Semantic Data Type Detection
Ashish Thusoo,Hive - a petabyte scale data warehouse using Hadoop
B. Glocker,Domain Generalization via Model-Agnostic Learning of Semantic Features
B. L. Saux,Semantic Segmentation of Earth Observation Data Using Multimodal and Multi-scale Deep Networks
B. Mitschang,The Deep Data Warehouse: Link-Based Integration and Enrichment of Warehouse Data and Unstructured Content
B. Nelson,Adversarial machine learning
B. Pang,Thumbs up? Sentiment Classification using Machine Learning Techniques
B. Schiele,The Cityscapes Dataset for Semantic Urban Scene Understanding
B. V. Merrienboer,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation
B. V. Vijaya Kumar,Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training
B. Villazón-Terrazas,Towards Vagueness-Aware Semantic Data
Benjamin I. P. Rubinstein,Adversarial machine learning
Benjamin Rath,SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle
Benjamin Van Durme,Constrained Language Models Yield Few-Shot Semantic Parsers
Bolei Zhou,Learning Deep Features for Scene Recognition using Places Database
Bowen Liu,Open Graph Benchmark: Datasets for Machine Learning on Graphs
Byungnam Lim,Tajo: A distributed data warehouse system on large clusters
C. E. Cuesta,Towards an Architecture for Managing Big Semantic Data in Real-Time
C. H. Lin,Constrained Language Models Yield Few-Shot Semantic Parsers
C. Hudelot,Semi-Supervised Semantic Segmentation With Cross-Consistency Training
C. Lange,Semantic Data Integration for Knowledge Graph Construction at Query Time
C. Servin,ACM Task Force on Data Science Education: Draft Report and Opportunity for Feedback
C. Stachniss,RangeNet ++: Fast and Accurate LiDAR Semantic Segmentation
C. T. Bolivar,A Platform for Urban Analytics and Semantic Data Integration in City Planning
Casey Dugan,AutoDS: Towards Human-Centered Automation of Data Science
Casey Dugan,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation"
Changick Kim,Self-Ensembling With GAN-Based Data Augmentation for Domain Adaptation in Semantic Segmentation
Changxin Gao,Adversarial Semantic Data Augmentation for Human Pose Estimation
Chao Wu,Discovering Semantic Data of Interest from Un-mappable Memory with Confidence
Chaofan Chen,Semantic Earth Observation Data Cubes
Chaofan Chen,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Charles C. Chen,Constrained Language Models Yield Few-Shot Semantic Parsers
Cheng Wu,Implicit Semantic Data Augmentation for Deep Networks
Chengjie Wang,Adversarial Semantic Data Augmentation for Human Pose Estimation
Chengliang Liu,Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory
Christian Aebeloe,A Decentralized Architecture for Sharing and Querying Semantic Data
Christoph Gröger,The Deep Data Warehouse: Link-Based Integration and Enrichment of Warehouse Data and Unstructured Content
Christos Sakaridis,Model Adaptation with Synthetic and Real Data for Semantic Dense Foggy Scene Understanding
Chunhua Shen,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Congzheng Song,Membership Inference Attacks Against Machine Learning Models
César A. Hidalgo,Sherlock: A Deep Learning Approach to Semantic Data Type Detection
D. Bochtis,Machine Learning in Agriculture: A Review
D. Collarana,Semantic Data Integration for Knowledge Graph Construction at Query Time
D. Klein,Constrained Language Models Yield Few-Shot Semantic Parsers
D. Moshou,Machine Learning in Agriculture: A Review
D. Scharstein,A Database and Evaluation Methodology for Optical Flow
D. Tiede,Semantic Earth Observation Data Cubes
D. Winkler,Evaluation of semantic data storages for integrating heterogenous disciplines in automation systems engineering
D. Yeung,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting
D. Zumstein,A Fuzzy Data Warehouse Approach for Web Analytics
Dakuo Wang,AutoDS: Towards Human-Centered Automation of Data Science
Dakuo Wang,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation"
Daniel Coelho de Castro,Domain Generalization via Model-Agnostic Learning of Semantic Features
Daniel Fasel,A Fuzzy Data Warehouse Approach for Web Analytics
David J. Fleet,VSE++: Improving Visual-Semantic Embeddings with Hard Negatives
David Piorkowski,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation"
David Vázquez,The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes
Dekang Lin,Book Reviews: WordNet: An Electronic Lexical Database
Dengxin Dai,Model Adaptation with Synthetic and Real Data for Semantic Dense Foggy Scene Understanding
Di Li,Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory
Dimitris N. Metaxas,Semantic Graph Convolutional Networks for 3D Human Pose Regression
Dongyan Xu,Discovering Semantic Data of Interest from Un-mappable Memory with Confidence
Dzmitry Bahdanau,Neural Machine Translation by Jointly Learning to Align and Translate
Dzmitry Bahdanau,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation
E. Conchon,Engineering IoT Healthcare Applications: Towards a Semantic Data Driven Sustainable Architecture
E. Konukoglu,Exploring Cross-Image Pixel Contrast for Semantic Segmentation
E. Rosten,Machine Learning for High-Speed Corner Detection
Elisa Turricchia,Modern Software Engineering Methodologies Meet Data Warehouse Design: 4WD
Elyor Kodirov,Semantic Autoencoder for Zero-Shot Learning
Emanuel Zgraggen,Sherlock: A Deep Learning Approach to Semantic Data Type Detection
Emmanouil Antonios Platanios,Constrained Language Models Yield Few-Shot Semantic Parsers
Erick Oduor,AutoDS: Towards Human-Centered Automation of Data Science
Erwin Ardianto Halim,Use data warehouse and data mining to predict student academic performance in schools: A case study (perspective application and benefits)
Estefanía Serral,Evaluation of semantic data storages for integrating heterogenous disciplines in automation systems engineering
Estíbaliz Garrote,HMDB: A large video database for human motion recognition
Evans Rs,Clinical Use of an Enterprise Data Warehouse
F. Nashashibi,Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation
F. Ravat,Olap aggregation function for textual data warehouse
F. Saleh,Effective Use of Synthetic Data for Urban Scene Semantic Segmentation
F. Yu,Exploring Cross-Image Pixel Contrast for Semantic Segmentation
Fartash Faghri,VSE++: Improving Visual-Semantic Embeddings with Hard Negatives
Fei Pan,Unsupervised Intra-Domain Adaptation for Semantic Segmentation Through Self-Supervision
Feiyue Huang,Adversarial Semantic Data Augmentation for Human Pose Estimation
Fethi Bougares,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation
Florijan Klezin,SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle
François Rameau,Unsupervised Intra-Domain Adaptation for Semantic Segmentation Through Self-Supervision
G. Galal-Edeen,Data warehouse testing
G. Miller,WordNet: A Lexical Database for English
G. Ros,The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes
Gabriela Montoya,A Decentralized Architecture for Sharing and Querying Semantic Data
Gang Zeng,Semi-Supervised Semantic Segmentation with Cross Pseudo Supervision
Gao Huang,Implicit Semantic Data Augmentation for Deep Networks
George J. Pappas,Probabilistic data association for semantic SLAM
Gonzalo A. Ramos,AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration
H. Augustin,Semantic Earth Observation Data Cubes
H. Larochelle,Practical Bayesian Optimization of Machine Learning Algorithms
H. Liu,Hive - a petabyte scale data warehouse using Hadoop
H. Mühleisen,Data Management for Data Science - Towards Embedded Analytics
H. Schwarz,The Deep Data Warehouse: Link-Based Integration and Enrichment of Warehouse Data and Unstructured Content
H. Watson,Key organizational factors in data warehouse architecture selection
Hadj Mahboubi,Enhancing XML data warehouse query performance by fragmentation
Haemi Yang,Tajo: A distributed data warehouse system on large clusters
Hao Li,Semantic Earth Observation Data Cubes
Hao Li,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Hao Wang,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting
Haofen Wang,HadoopRDF: A Scalable Semantic Data Analytical Engine
Harco Leslie Hendric Spits Wamars,Datawarehouser: A data warehouse artist who have ability to understand data warehouse schema pictures
Helen Jiang,3D Semantic Parsing of Large-Scale Indoor Spaces
Hilde Kuehne,HMDB: A large video database for human motion recognition
Himalaya Jain,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation
Holger Schwenk,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation
Hong Zhang,Implicit Semantic Data Augmentation for Deep Networks
Hongyu Ren,Open Graph Benchmark: Datasets for Machine Learning on Graphs
Hridesh Rajan,"The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large"
Hueihan Jhuang,HMDB: A large video database for human motion recognition
Hui Li,Semantic Earth Observation Data Cubes
Hui Li,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Hyoseok Ryu,Tajo: A distributed data warehouse system on large clusters
Hyunsik Choi,Tajo: A distributed data warehouse system on large clusters
I. Antonov,SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle
I. Brilakis,3D Semantic Parsing of Large-Scale Indoor Spaces
I. Goodfellow,Adversarial Machine Learning at Scale
I. Goodfellow,Practical Black-Box Attacks against Machine Learning
I. Mozetič,Semantic Data Mining of Financial News Articles
I. Ribón,Semantic Data Integration for Knowledge Graph Construction at Query Time
Ignacio Vizzo,RangeNet ++: Fast and Accurate LiDAR Semantic Segmentation
In-So Kweon,Unsupervised Intra-Domain Adaptation for Semantic Segmentation Through Self-Supervision
Ingrid Lange,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation"
Inkyu Shin,Unsupervised Intra-Domain Adaptation for Semantic Segmentation Through Self-Supervision
Iro Armeni,3D Semantic Parsing of Large-Scale Indoor Spaces
J. Behley,RangeNet ++: Fast and Accurate LiDAR Semantic Segmentation
J. D. Tygar,Adversarial machine learning
J. Darmont,Enhancing XML data warehouse query performance by fragmentation
J. Eisner,Constrained Language Models Yield Few-Shot Semantic Parsers
J. Kiros,VSE++: Improving Visual-Semantic Embeddings with Hard Negatives
J. Leskovec,Open Graph Benchmark: Datasets for Machine Learning on Graphs
J. P. Lewis,A Database and Evaluation Methodology for Optical Flow
J. Rhee,Discovering Semantic Data of Interest from Un-mappable Memory with Confidence
J. Verwey,AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration
J. Wan,Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory
J. Álvarez,Effective Use of Synthetic Data for Urban Scene Semantic Segmentation
Jaehoon Choi,Self-Ensembling With GAN-Based Data Augmentation for Domain Adaptation in Semantic Segmentation
Jaeyong Kang,MRI-Based Brain Tumor Classification Using Ensemble of Deep Features and Machine Learning Classifiers
James Y. Zou,Data Shapley: Equitable Valuation of Data for Machine Learning
Jason Tsay,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation"
Jasper Snoek,Practical Bayesian Optimization of Machine Learning Algorithms
Javier D. Fernández,Towards an Architecture for Managing Big Semantic Data in Real-Time
Jeff Z. Pan,Towards Vagueness-Aware Semantic Data
Jeonghwan Gwak,MRI-Based Brain Tumor Classification Using Ensemble of Deep Features and Machine Learning Classifiers
Jianfeng Gao,Learning deep structured semantic models for web search using clickthrough data
Jianlong Yuan,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Jianxiong Xiao,Learning Deep Features for Scene Recognition using Places Database
Jifeng Dai,Exploring Cross-Image Pixel Contrast for Semantic Segmentation
Jihoon Son,Tajo: A distributed data warehouse system on large clusters
Jilin Li,Adversarial Semantic Data Augmentation for Human Pose Estimation
Jin-Hang Du,HadoopRDF: A Scalable Semantic Data Analytical Engine
Jina Suh,AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration
Jingdong Wang,Semi-Supervised Semantic Segmentation with Cross Pseudo Supervision
Jinsong Wang,Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training
Joanna Materzynska,The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes
Jorge Bernardino,Optimizing data warehouse loading procedures for enabling useful-time data warehousing
Josh Andres,AutoDS: Towards Human-Centered Automation of Data Science
Joydeep Sen Sarma,Hive - a petabyte scale data warehouse using Hadoop
Justin D. Weisz,AutoDS: Towards Human-Centered Automation of Data Science
K. Hose,A Decentralized Architecture for Sharing and Querying Semantic Data
K. Hu,Sherlock: A Deep Learning Approach to Semantic Data Type Detection
K. Kamnitsas,Domain Generalization via Model-Agnostic Learning of Semantic Features
Kamlesh Makvana,Review on web search personalization through semantic data
Kevin Innerebner,SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle
Konstantinos G. Liakos,Machine Learning in Agriculture: A Review
Kostas Daniilidis,Probabilistic data association for semantic SLAM
Kyunghyun Cho,Neural Machine Translation by Jointly Learning to Align and Translate
Kyunghyun Cho,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation
L. Bottou,Large-Scale Machine Learning with Stochastic Gradient Descent
L. Cassel,ACM Task Force on Data Science Education: Draft Report and Opportunity for Feedback
L. Deng,Learning deep structured semantic models for web search using clickthrough data
